BeanCount,rms_db,shake_rate_bpm
1,-48.540764,598.00665
1,-45.068684,598.00665
1,-40.59605,598.00665
1,-38.573055,598.00665
1,-37.385483,598.00665
1,-22.634441,598.00665
1,-21.020195,598.00665
1,-20.84803,598.00665
1,-23.671509,598.00665
1,-31.441456,598.00665
1,-35.39289,598.00665
1,-37.77843,598.00665
1,-38.437454,598.00665
1,-39.144585,598.00665
1,-40.34169,598.00665
1,-37.591812,598.00665
1,-37.184998,598.00665
1,-24.02946,598.00665
1,-21.164055,598.00665
1,-20.924145,598.00665
1,-21.953213,598.00665
1,-19.277225,598.00665
1,-18.861752,598.00665
1,-18.254398,598.00665
1,-19.267845,598.00665
1,-19.353893,598.00665
1,-18.327763,598.00665
1,-20.367477,598.00665
1,-20.99731,598.00665
1,-18.406315,598.00665
1,-18.432518,598.00665
1,-18.456852,606.9876
1,-23.243454,623.1313
1,-28.638683,640.1571
1,-31.431381,658.1395
1,-31.457268,677.1614
1,-19.947166,697.3155
1,-12.401159,718.7061
1,-12.123428,730.7199
1,-12.764776,592.4181
1,-21.314072,498.13675
1,-25.120895,429.7444
1,-14.1106415,377.86493
1,-7.927187,337.16214
1,-7.4446793,304.3755
1,-6.455166,319.02487
1,-10.028088,336.51587
1,-10.892796,356.03607
1,-13.095482,377.96036
1,-19.29181,402.76193
1,-22.278572,431.04703
1,-24.639977,463.60504
1,-26.551712,501.48325
1,-28.348843,546.10175
1,-29.264557,599.4353
1,-30.355888,664.3137
1,-31.878284,744.9406
1,-9.870283,847.842
1,-7.798918,983.7281
1,-7.2990875,1031.5712
1,-8.436796,643.114
1,-11.681377,467.18634
1,-10.937927,366.83612
1,-11.452095,316.2135
1,-11.174583,333.078
1,-14.828316,351.84277
1,-14.589973,372.84802
1,-15.913216,396.5206
1,-16.938755,423.40292
1,-20.821346,454.19537
1,-24.18151,489.81793
1,-25.946651,531.5038
1,-27.229671,580.945
1,-28.842968,640.5278
1,-29.145626,713.7291
1,-17.639101,805.82056
1,-7.606621,925.1975
1,-7.0588264,1086.0953
1,-6.7642574,754.36383
1,-12.242802,540.43475
1,-8.411163,421.03424
1,-7.9960423,344.84595
1,-7.98958,313.98746
1,-11.858006,293.0148
1,-15.14698,274.66843
1,-18.481033,258.4841
1,-22.065403,244.1009
1,-24.738052,231.23404
1,-26.951542,219.6557
1,-28.120438,209.18156
1,-29.604317,199.66089
1,-25.106236,190.96912
1,-20.073383,183.00253
1,-16.948584,175.67401
1,-14.800501,168.90984
1,-15.560274,165.2423
1,-16.930233,167.70708
1,-21.179771,170.2465
1,-24.440311,172.86404
1,-26.103775,175.56331
1,-26.392433,178.3482
1,-26.480785,181.22289
1,-26.726402,184.19177
1,-28.191296,187.25952
1,-26.718678,190.4312
1,-27.14618,193.71219
1,-27.488625,197.1082
1,-30.65889,200.62541
1,-27.003471,204.27043
1,-25.91415,208.05034
1,-25.219368,211.97278
1,-26.102425,216.04596
1,-24.600594,220.27876
1,-24.203575,224.68071
1,-23.015,229.26219
1,-22.403427,234.03442
1,-22.323662,239.00952
1,-22.237103,244.20076
1,-24.393925,249.6225
1,-22.111893,255.29045
1,-19.10717,261.22177
1,-16.975945,267.43527
1,-16.467815,273.95157
1,-17.482502,283.2923
1,-19.98513,293.43475
1,-23.60979,304.33044
1,-27.686714,316.06647
1,-30.855896,328.74396
1,-33.427982,342.48096
1,-35.14443,357.41605
1,-36.128002,373.71313
1,-37.37314,391.5674
1,-24.435707,411.2133
1,-16.369549,432.93463
1,-13.076725,457.07874
1,-13.009932,484.07483
1,-12.927771,514.46
1,-11.576473,548.91516
1,-10.680935,588.3168
1,-10.262487,604.6141
1,-13.332396,598.0635
1,-13.842125,591.6533
1,-14.778481,585.3791
1,-15.326801,579.2366
1,-17.322943,573.2216
1,-17.552464,567.33026
1,-17.406368,564.9868
1,-18.518654,583.528
1,-23.612705,603.32745
1,-27.104927,624.5177
1,-28.499748,647.25055
1,-30.470268,671.701
1,-16.361406,698.07117
1,-13.594217,726.5965
1,-13.4293,759.3491
1,-13.377905,807.1346
1,-24.429226,861.33826
1,-27.775665,923.3461
1,-9.745615,994.9745
1,-6.4864006,1078.6505
1,-6.1170425,1042.8099
1,-6.7283745,650.23456
1,-11.657337,472.39648
1,-11.945637,370.94397
1,-12.159636,320.24814
1,-13.316273,315.2459
1,-18.765583,310.39755
1,-23.156662,305.69604
1,-25.911861,301.13486
1,-27.164848,296.70776
1,-28.475937,292.40897
1,-29.802631,288.23294
1,-14.984472,284.17453
1,-5.590784,280.22882
1,-4.6514893,276.39117
1,-4.2806473,272.65723
1,-4.180439,269.0228
1,-2.7947025,265.484
1,-2.458891,263.80594
1,-4.0514717,266.3172
1,-5.854286,268.87674
1,-7.9385147,271.486
1,-9.177229,274.14636
1,-17.032745,276.85938
1,-20.230461,279.62665
1,-22.56604,282.4498
1,-24.275356,285.3305
1,-26.629059,288.2706
1,-27.651558,291.2719
1,-28.915535,294.33636
1,-29.486752,297.466
1,-30.587269,300.6629
1,-30.95734,303.92926
1,-6.9806194,307.26736
1,-4.529957,310.67966
1,-4.0992966,316.63956
1,-2.8546677,333.9775
1,-4.3664093,353.3242
1,-4.149559,375.0501
1,-6.404377,399.62292
1,-8.575857,427.64142
1,-10.328705,459.8851
1,-14.743507,497.38757
1,-16.608294,541.54956
1,-17.68159,594.31775
1,-20.634369,658.4795
1,-23.357574,738.1715
1,-24.960457,839.80884
1,-9.516275,973.9035
1,-9.032211,1158.9576
1,-8.899006,683.01306
1,-9.156704,452.0532
1,-6.0910244,337.81992
