BeanCount,rms_db,shake_rate_bpm
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-80.0,378.5489
64,-48.485443,378.5489
64,-40.765842,378.5489
64,-37.642155,378.5489
64,-33.27141,378.5489
64,-30.162945,378.5489
64,-26.911156,378.5489
64,-25.082588,378.5489
64,-23.747807,378.5489
64,-23.514565,378.5489
64,-24.155151,378.5489
64,-25.55931,378.5489
64,-27.002975,378.5489
64,-25.89753,378.5489
64,-22.19999,378.5489
64,-17.754372,378.5489
64,-17.275959,378.5489
64,-16.72335,378.5489
64,-18.987175,378.5489
64,-20.083431,378.5489
64,-22.86454,378.5489
64,-25.480183,378.5489
64,-26.483616,378.5489
64,-26.592186,378.5489
64,-25.924873,378.5489
64,-25.09019,378.5489
64,-24.826855,378.5489
64,-23.452278,378.5489
64,-23.726746,378.5489
64,-23.369377,378.5489
64,-22.348194,378.5489
64,-18.06504,378.5489
64,-16.455814,378.5489
64,-15.465091,380.44476
64,-16.35033,388.5315
64,-17.897587,396.96945
64,-19.428192,405.78207
64,-21.630848,414.99484
64,-22.843582,424.63568
64,-25.789272,434.73508
64,-23.620575,445.3266
64,-21.954723,456.44708
64,-19.925457,468.1372
64,-15.444816,480.4418
64,-13.682412,493.41074
64,-13.049226,495.89624
64,-13.932218,478.92648
64,-16.143936,463.07977
64,-17.5764,448.24814
64,-18.279743,434.33707
64,-13.8458185,421.26346
64,-11.08752,408.95386
64,-7.8670053,397.34326
64,-6.4718847,386.37372
64,-6.150552,385.53656
64,-7.4547796,400.4195
64,-9.63585,416.49762
64,-12.544515,433.92093
64,-15.663493,452.86557
64,-17.429543,473.53998
64,-17.534573,496.19238
64,-16.326843,521.1209
64,-13.739175,548.68665
64,-10.993318,579.3316
64,-6.776372,613.6022
64,-5.5510607,652.1823
64,-5.64968,628.21344
64,-7.8161573,562.7268
64,-11.580157,509.6043
64,-14.039853,465.6464
64,-11.228459,428.66974
64,-7.6668234,397.1337
64,-6.2664194,369.91974
64,-6.5553217,376.4284
64,-9.23692,389.5061
64,-14.24647,403.5252
64,-17.024017,418.59116
64,-19.796589,434.8257
64,-21.475418,452.37036
64,-19.971252,471.39032
64,-19.699604,492.0799
64,-19.560913,514.669
64,-18.438984,539.4318
64,-14.87046,566.69794
64,-13.319097,596.8672
64,-12.529452,592.39545
64,-13.316571,560.6925
64,-14.772454,532.2105
64,-15.840478,506.48227
64,-12.769624,483.12683
64,-9.993995,461.8304
64,-8.210858,442.3323
64,-8.478675,420.37805
64,-9.420304,385.80884
64,-12.457681,356.49316
64,-16.766644,331.31793
64,-19.011799,309.46393
64,-18.206413,290.31448
64,-18.349873,273.39685
64,-18.64273,258.34238
64,-20.613281,244.8593
64,-14.276309,232.71379
64,-13.411548,221.71622
64,-12.925645,222.0489
64,-14.320756,227.82362
64,-14.518773,233.90671
64,-14.13268,240.32356
64,-15.020867,247.10243
64,-16.23817,254.27481
64,-17.66499,261.876
64,-17.941158,269.94565
64,-17.323887,278.52847
64,-17.459293,287.67496
64,-17.937542,297.44257
64,-18.364418,307.8968
64,-19.116852,319.11264
64,-20.693966,331.1765
64,-24.247276,344.18835
64,-26.355465,358.2645
64,-27.059711,373.54105
64,-26.388245,390.1784
64,-17.165462,408.36688
64,-15.119967,428.33408
64,-14.079255,447.9637
64,-14.48776,432.40967
64,-16.108402,417.89954
64,-17.30037,404.3316
64,-18.40512,391.61697
64,-20.078606,379.67764
64,-17.987923,368.44473
64,-16.042767,357.85742
64,-13.641633,347.86154
64,-11.192376,338.40894
64,-10.9126425,330.3214
64,-11.525254,345.34018
64,-15.26917,361.78973
64,-17.446712,379.8847
64,-19.446194,399.88507
64,-19.960934,422.10843
64,-21.836739,446.9472
64,-22.450485,474.89206
64,-22.456425,506.5644
64,-20.948048,542.7633
64,-18.619541,584.5339
64,-14.428796,633.2698
64,-11.431022,690.8717
64,-9.5428915,760.001
64,-9.4955225,688.3371
64,-9.936641,498.47577
64,-10.75174,390.70825
64,-9.578853,321.25485
64,-6.959161,272.76703
64,-6.6664286,236.9965
64,-7.4060087,231.35324
64,-10.687425,230.74007
64,-13.622918,230.13017
64,-15.638099,229.52348
64,-17.998672,228.91998
64,-19.951431,228.31966
64,-22.327831,227.72244
64,-18.303802,227.12837
64,-17.518517,226.5374
64,-16.478813,225.94948
64,-17.59658,225.3646
64,-17.856491,224.78275
64,-18.641441,224.20389
64,-20.014408,223.628
64,-21.12399,223.05508
64,-17.710472,222.48506
64,-15.941985,221.91795
64,-13.808654,221.35374
64,-12.459161,220.7924
64,-13.0055,221.1306
64,-13.703805,222.70645
64,-18.015572,224.30493
64,-19.937439,225.92651
64,-22.576855,227.57172
64,-25.506668,229.24104
64,-26.295895,230.93506
64,-26.39273,232.65428
64,-25.047672,234.3993
64,-23.140182,236.1707
64,-21.289883,237.96907
64,-19.12886,239.79504
64,-18.300804,241.64926
64,-18.335072,243.53236
64,-19.932274,245.44505
64,-21.420685,247.38803
64,-18.537037,249.362
64,-14.520984,251.36774
64,-11.778483,253.40599
64,-8.997331,255.47758
64,-8.59772,257.51968
64,-9.104951,254.58554
64,-12.915332,251.71751
64,-17.152832,248.91338
64,-19.92892,246.17104
64,-22.405548,243.48846
64,-24.284683,240.86374
64,-25.330017,238.29498
64,-23.928074,235.78043
64,-19.165089,233.31839
64,-16.355652,230.90727
64,-12.605899,228.54544
64,-11.85481,226.23145
