BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
1,0.017261673,-48.540764,0.0,0.0,0.39999995,409.0909
1,0.0051797307,-45.068684,0.0016641915,0.0,0.39999995,409.0909
1,0.0018585128,-40.59605,0.0046495125,0.078549154,0.39999995,409.0909
1,0.013134462,-38.573055,0.006232607,0.11961098,0.39999995,409.0909
1,0.03896208,-37.385483,0.005370599,0.13125919,0.39999995,409.0909
1,0.06874748,-22.634441,0.03719934,0.11811286,0.39999995,409.0909
1,0.08444816,-21.020195,0.08054097,0.22347455,0.39999995,409.0909
1,0.075585924,-20.84803,0.017145263,0.1962869,0.41363636,399.19354
1,0.050064255,-23.671509,0.0031123192,0.038680576,0.4272727,389.76376
1,0.025312219,-31.441456,0.0025872951,0.011349513,0.44090906,380.76923
1,0.0123628285,-35.39289,0.0025603904,0.014134694,0.4545454,372.18045
1,0.01012433,-37.77843,0.002505999,0.022477455,0.46818182,363.97058
1,0.010986495,-38.437454,0.0022206597,0.029327674,0.48181814,356.1151
1,0.009656619,-39.144585,0.0015890789,0.028462732,0.4954545,348.59155
1,0.007832091,-40.34169,0.0015184564,0.024021724,0.50909084,341.3793
1,0.012064692,-37.591812,0.003362761,0.021194095,0.5227272,334.45947
1,0.02700074,-37.184998,0.011233069,0.11932382,0.53636366,327.81458
1,0.049434062,-24.02946,0.004079003,0.2200318,0.55,321.42856
1,0.0691626,-21.164055,0.10579384,0.050525825,0.5214286,335.10638
1,0.07907995,-20.924145,0.043056976,0.44073227,0.4928571,350.0
1,0.083842844,-21.953213,0.0022831643,0.09540699,0.4642857,366.27908
1,0.09199092,-19.277225,0.055498693,0.0056036836,0.43571424,384.14636
1,0.10448374,-18.861752,0.09388201,0.1340666,0.40714285,403.84613
1,0.11708125,-18.254398,0.003950177,0.1646014,0.3785714,425.6757
1,0.12485427,-19.267845,0.032072563,0.020153508,0.35000002,449.99997
1,0.12299753,-19.353893,0.055378105,0.09723549,0.32142857,477.27274
1,0.1124749,-18.327763,0.019312715,0.10887415,0.29285714,508.0645
1,0.102409564,-20.367477,0.051229917,0.06278466,0.26428568,543.10345
1,0.10259976,-20.99731,0.010848031,0.121926144,0.23571427,583.3333
1,0.111678004,-18.406315,0.013274617,0.008658247,0.20714286,630.0
1,0.11324106,-18.432518,0.131306,0.023303684,0.17857143,684.7826
1,0.091687486,-18.456852,0.007144282,0.24075426,0.14999999,750.0
1,0.051354397,-23.243454,0.0032555847,0.009674859,0.15833333,729.72974
1,0.016094016,-28.638683,0.0052990303,0.013273473,0.16666664,710.52637
1,0.0146463625,-31.431381,0.0042117233,0.02704513,0.175,692.3077
1,0.061149094,-31.457268,0.0034176444,0.02044637,0.18333334,675.0
1,0.13702686,-19.947166,0.09616662,0.043217864,0.19166665,658.5366
1,0.19259095,-12.401159,0.14927526,0.4520843,0.19999999,642.8571
1,0.18371591,-12.123428,0.16559575,0.24462032,0.25,562.5
1,0.11879412,-12.764776,0.008161534,0.12117695,0.29999998,500.0
1,0.062081106,-21.314072,0.008011295,0.014250303,0.35000002,449.99997
1,0.083661936,-25.120895,0.010238259,0.0098949205,0.39999995,409.0909
1,0.19994968,-14.1106415,0.0076722107,0.042054087,0.44999996,375.0
1,0.351345,-7.927187,0.37617448,0.03482547,0.49999994,346.15384
1,0.446938,-7.4446793,0.36421806,0.6502441,0.55,321.42856
1,0.4427683,-6.455166,0.013504572,0.13331684,0.5178571,336.8984
1,0.3598854,-10.028088,0.14292812,0.0022191952,0.4857143,353.9326
1,0.2461587,-10.892796,0.04083085,0.08550613,0.45357138,372.78107
1,0.14713015,-13.095482,0.011593935,0.028946565,0.42142856,393.75
1,0.08817471,-19.29181,0.013319792,0.0071110176,0.3892857,417.21854
1,0.067256086,-22.278572,0.010818112,0.027304355,0.35714284,443.66196
1,0.063370205,-24.639977,0.009188733,0.022181809,0.325,473.6842
1,0.05327698,-26.551712,0.0065114736,0.031298097,0.29285714,508.0645
1,0.02794149,-28.348843,0.005150329,0.02400886,0.2607143,547.8261
1,0.003356605,-29.264557,0.0068532703,0.033140916,0.22857141,594.33966
1,0.015479616,-30.355888,0.0053755464,0.06100524,0.19642858,649.4845
1,0.097278155,-31.878284,0.00349211,0.037356697,0.16428572,715.90906
1,0.23526952,-9.870283,0.054009102,0.017522806,0.13214284,797.4684
1,0.36076272,-7.798918,0.51764506,0.32350603,0.10000001,899.99994
1,0.4062938,-7.2990875,0.08714289,0.57434964,0.19,661.7647
1,0.37395412,-8.436796,0.016938174,0.03605003,0.27999997,523.25586
1,0.3185847,-11.681377,0.029219706,0.008107144,0.36999995,432.69232
1,0.280341,-10.937927,0.15113907,0.024778442,0.45999998,368.85248
1,0.25909498,-11.452095,0.07728927,0.2850976,0.55,321.42856
1,0.24085721,-11.174583,0.024735836,0.05649369,0.55714285,318.18182
1,0.21930768,-14.828316,0.060519464,0.04027787,0.5642857,315.0
1,0.19313288,-14.589973,0.024900505,0.07626471,0.57142854,311.8812
1,0.16187847,-15.913216,0.04410031,0.017746445,0.57857144,308.82352
1,0.1282039,-16.938755,0.005296626,0.06059455,0.5857143,305.82526
1,0.09679665,-20.821346,0.003851854,0.009539899,0.5928571,302.8846
1,0.06783543,-24.18151,0.006492174,0.016512575,0.59999996,300.0
1,0.037886586,-25.946651,0.007834056,0.026715426,0.6071428,297.16983
1,0.0128440345,-27.229671,0.0063575637,0.051671356,0.6142857,294.39252
1,0.016755233,-28.842968,0.0053085233,0.046514306,0.62142855,291.66666
1,0.078120396,-29.145626,0.0041677407,0.030962083,0.6285714,288.99084
1,0.19600895,-17.639101,0.0039182515,0.027645983,0.63571423,286.36365
1,0.31986535,-7.606621,0.378062,0.02680757,0.6428571,283.78378
1,0.38657993,-7.0588264,0.36137784,0.7559697,0.65000004,281.25
1,0.39170283,-6.7642574,0.016809005,0.19745158,0.653125,280.15564
1,0.38701808,-12.242802,0.023041867,0.004318172,0.65625,279.06976
1,0.40040168,-8.411163,0.18171434,0.015048866,0.659375,277.99228
1,0.40083057,-7.9960423,0.26543334,0.17571159,0.6625,276.92307
1,0.35087204,-7.98958,0.018660108,0.16083658,0.665625,275.86206
1,0.2580785,-11.858006,0.03404434,0.011984422,0.66875,274.80917
1,0.16185372,-15.14698,0.014804754,0.039714836,0.671875,273.76425
1,0.09449298,-18.481033,0.012036787,0.012153242,0.675,272.72726
1,0.06173415,-22.065403,0.0100715775,0.033943973,0.67812496,271.69812
1,0.04923742,-24.738052,0.016022861,0.023541812,0.68125,270.6767
1,0.04090258,-26.951542,0.0068237805,0.08458381,0.684375,269.66293
1,0.033243388,-28.120438,0.004754208,0.022454219,0.6875,268.6567
1,0.036502086,-29.604317,0.006614052,0.03036236,0.69062495,267.658
1,0.06332038,-25.106236,0.0041681663,0.037485126,0.69374996,266.6667
1,0.11291619,-20.073383,0.0903995,0.03677155,0.696875,265.68268
1,0.16465288,-16.948584,0.06988447,0.37707445,0.7,264.70587
1,0.19033661,-14.800501,0.07162851,0.14083333,0.717647,259.32202
1,0.17541176,-15.560274,0.03506828,0.089058414,0.73529404,254.15283
1,0.13100417,-16.930233,0.010878796,0.040266138,0.7529412,249.18567
1,0.08374644,-21.179771,0.007388817,0.02633561,0.7705882,244.40895
1,0.054387134,-24.440311,0.006176021,0.014374118,0.78823525,239.81192
1,0.046332665,-26.103775,0.008093467,0.049582243,0.8058824,235.3846
1,0.0498525,-26.392433,0.027430354,0.026352476,0.8235294,231.11781
1,0.053722538,-26.480785,0.012553774,0.1279276,0.84117645,227.00296
1,0.053353626,-26.726402,0.010768419,0.053571515,0.8588235,223.03207
1,0.050001517,-28.191296,0.012761112,0.04552148,0.8764705,219.19772
1,0.04574405,-26.718678,0.0070769293,0.045918237,0.89411765,215.49295
1,0.04105681,-27.14618,0.027580263,0.042700034,0.91176474,211.91135
1,0.036887184,-27.488625,0.004361311,0.12780763,0.92941177,208.44687
1,0.03633564,-30.65889,0.0028978516,0.017688114,0.9470588,205.09384
1,0.04132987,-27.003471,0.0049852724,0.030311171,0.9647058,201.84697
1,0.0493414,-25.91415,0.0574766,0.042028986,0.982353,198.7013
1,0.05642468,-25.219368,0.009915621,0.29337332,1.0,195.65218
1,0.06208594,-26.102425,0.005364517,0.041676164,0.9630434,202.14845
1,0.06809046,-24.600594,0.027567983,0.02326984,0.9260869,209.09091
1,0.07471839,-24.203575,0.0335351,0.12743881,0.8891305,216.52719
1,0.079780616,-23.015,0.009303876,0.1187916,0.85217386,224.51195
1,0.079321526,-22.403427,0.036919177,0.027751572,0.8152174,233.10811
1,0.07181721,-22.323662,0.03069682,0.12404279,0.77826077,242.38876
1,0.06468873,-22.237103,0.0059159095,0.09354906,0.7413043,252.43901
1,0.07147083,-24.393925,0.01986733,0.032688677,0.70434785,263.35876
1,0.09873717,-22.111893,0.03956724,0.06544681,0.66739124,275.26596
1,0.13691731,-19.10717,0.052586332,0.14249554,0.63043475,288.30084
1,0.16488351,-16.975945,0.0768707,0.122344196,0.59347826,302.63156
1,0.16487923,-16.467815,0.060455818,0.13632405,0.5565217,318.46155
1,0.13568853,-17.482502,0.037844434,0.055921722,0.5195652,336.03897
1,0.09276065,-19.98513,0.0094776405,0.054896392,0.48260874,355.6701
1,0.055480897,-23.60979,0.0055205976,0.018431325,0.44565216,377.7372
1,0.03356595,-27.686714,0.004932128,0.024438033,0.40869564,402.72375
1,0.023788353,-30.855896,0.0037363337,0.025438402,0.3717391,431.25003
1,0.017231915,-33.427982,0.0053447904,0.027662974,0.3347826,464.12555
1,0.009957677,-35.14443,0.003828124,0.045314666,0.29782608,502.4272
1,0.008775319,-36.128002,0.002896046,0.036129598,0.26086956,547.619
1,0.02661086,-37.37314,0.0040974994,0.02205739,0.22391303,601.7442
1,0.06922679,-24.435707,0.023090426,0.046816405,0.18695652,667.74194
1,0.12492805,-16.369549,0.0706216,0.26554736,0.14999999,750.0
1,0.17205521,-13.076725,0.15294729,0.28916156,0.15833333,729.72974
1,0.20233458,-13.009932,0.08280013,0.20964962,0.16666664,710.52637
1,0.23100707,-12.927771,0.0049545844,0.07036071,0.175,692.3077
1,0.26864752,-11.576473,0.083674975,0.018258216,0.18333334,675.0
1,0.29612932,-10.680935,0.25730675,0.12848291,0.19166665,658.5366
1,0.28994486,-10.262487,0.028209748,0.22185546,0.19999999,642.8571
1,0.2539557,-13.332396,0.027599454,0.060485683,0.20714286,630.0
1,0.20893073,-13.842125,0.044874053,0.021577956,0.21428572,617.64703
1,0.17006429,-14.778481,0.12427094,0.04112932,0.22142856,605.7692
1,0.14595267,-15.326801,0.014668221,0.13649611,0.22857141,594.33966
1,0.14069237,-17.322943,0.0049765166,0.01923706,0.23571427,583.3333
1,0.14366028,-17.552464,0.0883634,0.02326298,0.24285714,572.7273
1,0.1338086,-17.406368,0.02460262,0.2807929,0.25,562.5
1,0.101962544,-18.518654,0.0042752647,0.03221141,0.23124999,590.16394
1,0.059145156,-23.612705,0.0051388536,0.007312392,0.21249998,620.6897
1,0.026143277,-27.104927,0.005482602,0.019840209,0.19375,654.5454
1,0.02244774,-28.499748,0.0043280763,0.036649343,0.175,692.3077
1,0.05616796,-30.470268,0.0028975294,0.026440665,0.15624999,734.6939
1,0.110692956,-16.361406,0.0038149138,0.03064606,0.1375,782.6087
1,0.14417383,-13.594217,0.23083209,0.04931619,0.11874999,837.2093
1,0.12329061,-13.4293,0.06611748,0.68647283,0.10000001,899.99994
1,0.068827115,-13.377905,0.00095101545,0.083218366,0.10000001,899.99994
1,0.051118556,-24.429226,0.0052299295,0.0054049,0.10000001,899.99994
1,0.12841323,-27.775665,0.006829147,0.028584266,0.10000001,899.99994
1,0.28341663,-9.745615,0.0731885,0.02189996,0.10000001,899.99994
1,0.42132744,-6.4864006,0.5783041,0.2679468,0.10000001,899.99994
1,0.45497632,-6.1170425,0.1905469,0.49750987,0.14999999,750.0
1,0.39249355,-6.7283745,0.013666545,0.049267292,0.19999999,642.8571
1,0.30791137,-11.657337,0.026823368,0.008340296,0.25,562.5
1,0.24830997,-11.945637,0.17296028,0.016384562,0.29999998,500.0
1,0.20650811,-12.159636,0.052429,0.19141063,0.35000002,449.99997
1,0.16374834,-13.316273,0.009212263,0.034675326,0.32000002,478.7234
1,0.11875029,-18.765583,0.011926948,0.0027555814,0.28999996,511.36365
1,0.07699938,-23.156662,0.007370721,0.027407622,0.26,548.78046
1,0.037879623,-25.911861,0.007028277,0.01922001,0.23,592.1052
1,0.005541287,-27.164848,0.0077221966,0.024047453,0.19999999,642.8571
1,0.0032224234,-28.475937,0.0064557986,0.04183757,0.16999999,703.125
1,0.066268235,-29.802631,0.005239162,0.037950423,0.13999999,775.8621
1,0.21973854,-14.984472,0.0057712123,0.039667416,0.109999985,865.38464
1,0.41780117,-5.590784,0.43143067,0.070585735,0.08,978.26086
1,0.5838614,-4.6514893,0.34401032,0.7362228,0.050000004,1125.0
1,0.68627125,-4.2806473,0.016160354,0.15774243,0.19999999,642.8571
1,0.74742645,-4.180439,0.17266214,0.0047281557,0.35000002,449.99997
1,0.77528083,-2.7947025,0.43107566,0.17336024,0.49999994,346.15384
1,0.7467214,-2.458891,0.3649214,0.21253142,0.65000004,281.25
1,0.6501105,-4.0514717,0.053866286,0.11083157,0.61249995,295.08197
1,0.5039533,-5.854286,0.09986801,0.01570442,0.575,310.34485
1,0.34246665,-7.9385147,0.1262327,0.036240686,0.5375,327.2727
1,0.20368168,-9.177229,0.006517639,0.037034865,0.49999994,346.15384
1,0.113495685,-17.032745,0.014675485,0.0014706242,0.46249995,367.34695
1,0.072443776,-20.230461,0.018084943,0.014338217,0.42499998,391.30435
1,0.06329092,-22.56604,0.012568056,0.03836384,0.3875,418.60464
1,0.06667792,-24.275356,0.007548175,0.025196917,0.35000002,449.99997
1,0.06732914,-26.629059,0.007824964,0.01577423,0.3125,486.48648
1,0.05324121,-27.651558,0.006167074,0.031776696,0.275,529.41174
1,0.020974504,-28.915535,0.007334757,0.045097146,0.23749998,580.64514
1,5.3515374e-05,-29.486752,0.006200865,0.041176736,0.19999999,642.8571
1,0.008625317,-30.587269,0.00751238,0.050184466,0.16250001,720.0
1,0.111141264,-30.95734,0.00502643,0.059748806,0.124999985,818.1818
1,0.31009433,-6.9806194,0.053996112,0.077179626,0.0875,947.3684
1,0.52663,-4.529957,0.7147615,0.26995608,0.050000004,1125.0
1,0.67123616,-4.0992966,0.15588808,0.6323239,0.1375,782.6087
1,0.7157086,-2.8546677,0.02815934,0.055291705,0.225,600.0
1,0.68108755,-4.3664093,0.5528588,0.020238135,0.3125,486.48648
1,0.59289485,-4.149559,0.053652555,0.25818047,0.39999995,409.0909
1,0.4751131,-6.404377,0.10178771,0.016260676,0.36818182,434.2105
1,0.35218963,-8.575857,0.06393538,0.09858078,0.3363636,462.61685
1,0.24852614,-10.328705,0.01355514,0.01490143,0.30454546,495.0
1,0.17647752,-14.743507,0.02661968,0.00397734,0.27272725,532.25806
1,0.12804917,-16.608294,0.09891705,0.08063007,0.24090907,575.5814
1,0.09244484,-17.68159,0.014302849,0.13136573,0.20909089,626.5823
1,0.07695122,-20.634369,0.009001349,0.014438746,0.17727272,687.5
