BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
16,5.8328276e-10,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,1.9988296e-10,-80.0,0.0,0.0,0.2,264.70587
16,1.1961158e-08,-80.0,0.0,0.0,0.2,264.70587
16,2.8589744e-08,-80.0,0.0,0.0,0.2,264.70587
16,2.1775667e-08,-80.0,0.0,0.0,0.2,264.70587
16,1.9426102e-10,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,5.102117e-08,-80.0,0.0,0.0,0.2,264.70587
16,2.9107017e-07,-80.0,0.0,0.0,0.2,264.70587
16,4.016589e-07,-80.0,0.0,0.0,0.2,264.70587
16,1.0269023e-07,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,4.1668184e-08,-80.0,0.0,0.0,0.2,264.70587
16,2.217348e-06,-80.0,0.0,0.0,0.2,264.70587
16,5.225924e-06,-80.0,0.0,0.0,0.2,264.70587
16,3.9116203e-06,-80.0,0.0,0.0,0.2,264.70587
16,2.6986953e-08,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,9.634638e-06,-80.0,0.0,0.0,0.2,264.70587
16,5.3518626e-05,-80.0,0.0,0.0,0.2,264.70587
16,7.2982206e-05,-80.0,0.0,0.0,0.2,264.70587
16,1.8001463e-05,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,6.3929297e-06,-80.0,0.0,0.0,0.2,264.70587
16,0.00038919074,-80.0,0.0,0.0,0.2,264.70587
16,0.0009126772,-80.0,0.0,0.0,0.2,264.70587
16,0.0006471343,-80.0,0.0,0.0,0.2,264.70587
16,1.3591202e-06,-80.0,0.0,0.0,0.2,264.70587
16,0.0,-80.0,0.0,0.0,0.2,264.70587
16,0.0002974613,-80.0,0.0,0.0,0.2,264.70587
16,0.009095972,-35.875214,0.01660821,0.0,0.2,264.70587
16,0.030638564,-30.846191,0.04400173,1.0,0.2,264.70587
16,0.06179769,-23.942604,0.02739139,0.687403,0.22605045,239.06248
16,0.09526485,-20.073395,0.09343269,0.12649013,0.25210086,217.94872
16,0.12267973,-18.271019,0.105691634,0.29235363,0.27815127,200.26178
16,0.1413367,-16.957188,0.069529146,0.17880039,0.3042017,185.23003
16,0.15369682,-17.475422,0.08308936,0.12141035,0.33025208,172.2973
16,0.16018395,-14.505794,0.0735281,0.0770599,0.35630253,161.05263
16,0.15598424,-14.508695,0.24760471,0.07205879,0.38235295,151.18578
16,0.13796933,-14.539237,0.036974132,0.15362,0.40840337,142.4581
16,0.1110398,-18.40812,0.04030544,0.027577143,0.4344538,134.6831
16,0.08297756,-19.891045,0.019647265,0.045287564,0.4605042,127.71285
16,0.057351172,-23.497646,0.021568872,0.015339879,0.48655462,121.42857
16,0.03646793,-23.775059,0.015942806,0.026423937,0.512605,115.73374
16,0.03115659,-24.735947,0.034715783,0.038234744,0.53865546,110.54913
16,0.06279875,-24.036217,0.027394524,0.10720446,0.56470585,105.809135
16,0.14594331,-18.821613,0.03762287,0.07964051,0.5907563,101.458885
16,0.26198632,-11.450458,0.26528817,0.09452644,0.61680675,97.452225
16,0.3587989,-8.880446,0.42724377,0.39736772,0.6428571,93.75
16,0.3922644,-7.149768,0.22146277,0.2845585,0.63244045,95.19613
16,0.3673408,-7.5142126,0.2701241,0.08621903,0.6220238,96.68755
16,0.33302113,-8.988181,0.10424893,0.06658772,0.61160713,98.22646
16,0.3356588,-9.358531,0.051991604,0.025594424,0.60119045,99.815155
16,0.37070683,-8.782027,0.3618242,0.020994933,0.59077376,101.456085
16,0.3885612,-7.4950094,0.29988122,0.24817306,0.5803571,103.15186
16,0.34997788,-7.7039747,0.19264732,0.119652845,0.56994045,104.9053
16,0.26303264,-9.501269,0.049819335,0.064090416,0.5595238,106.71936
16,0.16714437,-14.062358,0.04991223,0.01653867,0.54910713,108.59728
16,0.09617394,-16.86736,0.027099032,0.011436043,0.53869045,110.54248
16,0.059443176,-20.748417,0.025668077,0.012814607,0.5282738,112.558624
16,0.047742967,-23.100548,0.019932589,0.037686277,0.51785713,114.64969
16,0.049496952,-25.299553,0.014295272,0.022522135,0.5074405,116.81989
16,0.059749223,-23.560493,0.02140994,0.022778431,0.49702382,119.07387
16,0.079595625,-20.278343,0.0810443,0.06531682,0.48660716,121.41653
16,0.11240258,-18.937996,0.11369109,0.20987727,0.47619048,123.85321
16,0.15810297,-17.423206,0.048502382,0.22033907,0.46577382,126.389694
