BeanCount,rms_db,shake_rate_bpm
1,-48.540764,346.15384
1,-45.068684,346.15384
1,-40.59605,346.15384
1,-38.573055,346.15384
1,-37.385483,346.15384
1,-22.634441,346.15384
1,-21.020195,346.15384
1,-20.84803,336.2069
1,-23.671509,326.81564
1,-31.441456,317.93478
1,-35.39289,309.5238
1,-37.77843,301.5464
1,-38.437454,293.96985
1,-39.144585,286.7647
1,-40.34169,279.9043
1,-37.591812,273.3645
1,-37.184998,267.1233
1,-24.02946,261.1607
1,-21.164055,255.45853
1,-20.924145,250.0
1,-21.953213,258.78595
1,-19.277225,268.2119
1,-18.861752,278.35052
1,-18.254398,289.28574
1,-19.267845,301.11523
1,-19.353893,313.9535
1,-18.327763,327.9352
1,-20.367477,343.22034
1,-20.99731,360.0
1,-18.406315,378.50467
1,-18.432518,399.01477
1,-18.456852,421.875
1,-23.243454,447.5138
1,-28.638683,476.47058
1,-31.431381,509.43396
1,-31.457268,547.2973
1,-19.947166,591.24084
1,-12.401159,642.8571
1,-12.123428,562.5
1,-12.764776,500.0
1,-21.314072,449.99997
1,-25.120895,409.0909
1,-14.1106415,375.0
1,-7.927187,346.15384
1,-7.4446793,321.42856
1,-6.455166,336.8984
1,-10.028088,353.9326
1,-10.892796,372.78107
1,-13.095482,393.75
1,-19.29181,417.21854
1,-22.278572,443.66196
1,-24.639977,473.6842
1,-26.551712,508.0645
1,-28.348843,547.8261
1,-29.264557,594.33966
1,-30.355888,649.4845
1,-31.878284,715.90906
1,-9.870283,797.4684
1,-7.798918,899.99994
1,-7.2990875,661.7647
1,-8.436796,523.25586
1,-11.681377,432.69232
1,-10.937927,368.85248
1,-11.452095,321.42856
1,-11.174583,318.18182
1,-14.828316,315.0
1,-14.589973,311.8812
1,-15.913216,308.82352
1,-16.938755,305.82526
1,-20.821346,302.8846
1,-24.18151,300.0
1,-25.946651,297.16983
1,-27.229671,294.39252
1,-28.842968,291.66666
1,-29.145626,288.99084
1,-17.639101,286.36365
1,-7.606621,283.78378
1,-7.0588264,281.25
1,-6.7642574,280.15564
1,-12.242802,279.06976
1,-8.411163,277.99228
1,-7.9960423,276.92307
1,-7.98958,275.86206
1,-11.858006,274.80917
1,-15.14698,273.76425
1,-18.481033,272.72726
1,-22.065403,271.69812
1,-24.738052,270.6767
1,-26.951542,269.66293
1,-28.120438,268.6567
1,-29.604317,267.658
1,-25.106236,266.6667
1,-20.073383,265.68268
1,-16.948584,264.70587
1,-14.800501,259.32202
1,-15.560274,254.15283
1,-16.930233,249.18567
1,-21.179771,244.40895
1,-24.440311,239.81192
1,-26.103775,235.3846
1,-26.392433,231.11781
1,-26.480785,227.00296
1,-26.726402,223.03207
1,-28.191296,219.19772
1,-26.718678,215.49295
1,-27.14618,211.91135
1,-27.488625,208.44687
1,-30.65889,205.09384
1,-27.003471,201.84697
1,-25.91415,198.7013
1,-25.219368,195.65218
1,-26.102425,199.42197
1,-24.600594,203.33987
1,-24.203575,207.41484
1,-23.015,211.65645
1,-22.403427,216.07515
1,-22.323662,220.68231
1,-22.237103,225.49019
1,-24.393925,230.51225
1,-22.111893,235.76309
1,-19.10717,241.25874
1,-16.975945,247.01671
1,-16.467815,253.05623
1,-17.482502,259.3985
1,-19.98513,266.06683
1,-23.60979,273.08707
1,-27.686714,280.48782
1,-30.855896,288.30084
1,-33.427982,296.56158
1,-35.14443,305.30972
1,-36.128002,314.58966
1,-37.37314,324.45142
1,-24.435707,334.95145
1,-16.369549,346.15384
1,-13.076725,356.7073
1,-13.009932,367.92453
1,-12.927771,379.87012
1,-11.576473,392.61746
1,-10.680935,406.25
1,-10.262487,420.8633
1,-13.332396,436.56717
1,-13.842125,453.48837
1,-14.778481,471.7742
1,-15.326801,491.59662
1,-17.322943,513.1579
1,-17.552464,536.69727
1,-17.406368,562.5
1,-18.518654,580.64514
1,-23.612705,600.0
1,-27.104927,620.6897
1,-28.499748,642.8571
1,-30.470268,666.6666
1,-16.361406,692.3077
1,-13.594217,720.0
1,-13.4293,750.0
1,-13.377905,613.63635
1,-24.429226,519.2308
1,-27.775665,449.99997
1,-9.745615,397.05884
1,-6.4864006,355.26318
1,-6.1170425,321.42856
1,-6.7283745,311.8812
1,-11.657337,302.8846
1,-11.945637,294.39252
1,-12.159636,286.36365
1,-13.316273,278.76108
1,-18.765583,271.55173
1,-23.156662,264.70587
1,-25.911861,258.19672
1,-27.164848,252.0
1,-28.475937,246.09375
1,-29.802631,240.45802
1,-14.984472,235.07463
1,-5.590784,229.927
1,-4.6514893,224.99998
1,-4.2806473,227.84811
1,-4.180439,230.76924
1,-2.7947025,233.76624
1,-2.458891,236.8421
1,-4.0514717,240.0
1,-5.854286,243.24324
1,-7.9385147,246.57533
1,-9.177229,250.0
1,-17.032745,253.52113
1,-20.230461,257.14285
1,-22.56604,260.86957
1,-24.275356,264.70587
1,-26.629059,268.6567
1,-27.651558,272.72726
1,-28.915535,276.92307
1,-29.486752,281.25
1,-30.587269,285.7143
1,-30.95734,290.32257
1,-6.9806194,295.08197
1,-4.529957,300.0
1,-4.0992966,315.42056
1,-2.8546677,332.5123
1,-4.3664093,351.5625
1,-4.149559,372.92816
1,-6.404377,397.05884
1,-8.575857,424.52832
1,-10.328705,456.0811
1,-14.743507,492.7007
1,-16.608294,535.7143
1,-17.68159,586.95654
1,-20.634369,649.03845
1,-23.357574,725.80646
1,-24.960457,823.1707
1,-9.516275,950.7042
1,-9.032211,1125.0
1,-8.899006,642.8571
1,-9.156704,449.99997
1,-6.0910244,346.15384
1,-5.5520363,281.25
1,-5.6189766,292.68292
1,-5.0002403,305.08475
1,-5.265251,318.58408
1,-5.4599037,333.3333
1,-9.373589,349.51456
1,-10.773193,367.34695
1,-11.32217,387.09677
1,-18.991592,409.0909
1,-22.591797,433.73492
1,-24.803276,461.53848
1,-27.268902,493.15067
1,-28.779316,529.41174
1,-29.18119,571.4286
1,-29.158405,620.6897
1,-5.14736,679.2453
1,-4.217352,750.0
1,-3.9372177,658.5366
1,-9.03776,586.95654
1,-12.802078,529.41174
1,-9.211254,482.14285
1,-8.033936,442.62296
1,-7.093437,409.0909
1,-8.541191,412.5
1,-9.651321,415.9664
1,-11.830349,419.49155
1,-13.815842,423.07693
1,-20.968185,426.72415
1,-24.022038,430.43478
1,-26.081272,434.2105
1,-28.654984,438.0531
1,-30.200058,441.96426
1,-9.035461,445.94592
1,-7.4401207,449.99997
1,-7.046726,449.99997
1,-8.743137,449.99997
1,-13.715466,449.99997
1,-16.057636,449.99997
1,-16.306503,449.99997
1,-17.498077,449.99997
1,-18.766075,449.99997
1,-9.940784,449.99997
1,-9.04216,449.99997
1,-8.810421,449.99997
1,-10.109814,478.7234
1,-12.989254,511.36365
1,-13.45603,548.78046
1,-19.331429,592.1052
1,-21.991985,642.8571
1,-24.09188,703.125
1,-26.597103,775.8621
1,-13.672659,865.38464
1,-12.129829,978.26086
1,-11.741573,1125.0
1,-12.917301,899.99994
1,-11.104868,750.0
1,-7.535448,642.8571
1,-7.208187,562.5
1,-7.3012524,521.73914
1,-14.053047,486.48648
1,-16.06432,455.69623
1,-18.810009,428.57144
1,-21.562782,404.49442
1,-10.546219,382.97873
1,-8.233555,363.63635
1,-6.8709297,346.15384
1,-4.928591,292.5
1,-6.327175,253.24675
1,-6.4406395,223.28244
1,-13.890217,199.6587
1,-16.439884,180.55556
1,-17.715832,164.78873
1,-21.561897,151.5544
