BeanCount,rms_db,shake_rate_bpm
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-80.0,150.0
64,-48.485443,150.0
64,-40.765842,150.0
64,-37.642155,150.0
64,-33.27141,153.06123
64,-30.162945,156.25
64,-26.911156,159.57448
64,-25.082588,163.04347
64,-23.747807,166.66666
64,-23.514565,170.45454
64,-24.155151,174.4186
64,-25.55931,178.57143
64,-27.002975,182.92682
64,-25.89753,187.5
64,-22.19999,192.3077
64,-17.754372,197.36842
64,-17.275959,202.7027
64,-16.72335,208.33334
64,-18.987175,214.28572
64,-20.083431,220.58823
64,-22.86454,227.27274
64,-25.480183,234.37498
64,-26.483616,241.93549
64,-26.592186,250.0
64,-25.924873,258.6207
64,-25.09019,267.85715
64,-24.826855,277.77777
64,-23.452278,288.46152
64,-23.726746,300.0
64,-23.369377,312.5
64,-22.348194,326.08694
64,-18.06504,340.9091
64,-16.455814,357.14285
64,-15.465091,375.0
64,-16.35033,388.48923
64,-17.897587,402.98508
64,-19.428192,418.60464
64,-21.630848,435.4839
64,-22.843582,453.78152
64,-25.789272,473.6842
64,-23.620575,495.41284
64,-21.954723,519.2308
64,-19.925457,545.4545
64,-15.444816,574.4681
64,-13.682412,606.7416
64,-13.049226,642.8571
64,-13.932218,508.0645
64,-16.143936,419.99997
64,-17.5764,357.95453
64,-18.279743,311.8812
64,-13.8458185,276.3158
64,-11.08752,248.0315
64,-7.8670053,224.99998
64,-6.4718847,229.59183
64,-6.150552,234.37498
64,-7.4547796,239.3617
64,-9.63585,244.56522
64,-12.544515,250.0
64,-15.663493,255.68182
64,-17.429543,261.62793
64,-17.534573,267.85715
64,-16.326843,274.39023
64,-13.739175,281.25
64,-10.993318,288.46152
64,-6.776372,296.0526
64,-5.5510607,304.05405
64,-5.64968,312.5
64,-7.8161573,321.42856
64,-11.580157,330.88235
64,-14.039853,340.9091
64,-11.228459,351.5625
64,-7.6668234,362.90323
64,-6.2664194,375.0
64,-6.5553217,388.48923
