BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
1024,0.09674522,-25.577356,0.0,0.0,0.18749999,750.0
1024,0.100533776,-23.935461,0.039708424,0.0,0.18749999,750.0
1024,0.1069458,-20.21728,0.024062771,0.27599838,0.18749999,750.0
1024,0.1161424,-20.548796,0.10159145,0.10608002,0.20833331,710.52637
1024,0.12765971,-21.02035,0.016553013,0.21266884,0.22916667,675.0
1024,0.1402344,-24.026842,0.003593765,0.03041574,0.25,642.8571
1024,0.15184838,-23.769667,0.011422443,0.0032898583,0.2708333,613.63635
1024,0.16020243,-16.965616,0.124448806,0.11570562,0.29166666,586.95654
1024,0.16361932,-15.2768135,0.19277792,0.6688088,0.3125,562.5
1024,0.16195771,-15.2745075,0.04886889,0.35216373,0.3359375,537.3134
1024,0.15688857,-17.146055,0.01488407,0.054311365,0.359375,514.2857
1024,0.1512411,-19.94929,0.06716262,0.014209698,0.3828125,493.15067
1024,0.14775497,-21.606134,0.012646689,0.11205248,0.40625,473.6842
1024,0.14784122,-24.322523,0.009326037,0.03792996,0.42968747,455.69623
1024,0.15087076,-24.179453,0.027281014,0.035461217,0.453125,439.02438
1024,0.15433338,-21.816732,0.051451966,0.16435541,0.4765625,423.52942
1024,0.15489681,-17.386194,0.07433669,0.2793689,0.49999997,409.0909
1024,0.15001175,-16.038399,0.15098424,0.23421857,0.47727272,423.07693
1024,0.13942428,-16.03416,0.06727553,0.27896982,0.45454547,438.0531
1024,0.1258854,-17.78718,0.017866625,0.07312605,0.43181816,454.12845
1024,0.114638135,-21.463648,0.03297677,0.017635522,0.4090909,471.4286
1024,0.11181983,-23.223291,0.01826182,0.043779418,0.38636366,490.099
1024,0.122327715,-25.38939,0.008949766,0.025915608,0.36363634,510.30927
1024,0.14785217,-29.79313,0.0066286516,0.024736393,0.34090906,532.25806
1024,0.18579565,-31.584726,0.008344207,0.027777895,0.3181818,556.17975
1024,0.22961849,-19.123796,0.012180558,0.074948676,0.29545453,582.35297
1024,0.27075827,-10.575888,0.25989223,0.104953006,0.27272728,611.1111
1024,0.30166316,-8.996641,0.43651408,1.0,0.25,642.8571
1024,0.3187114,-8.757839,0.106006846,0.4991453,0.28571427,594.33966
1024,0.3233619,-11.350607,0.029428175,0.06820036,0.32142854,552.6316
1024,0.32076737,-17.12611,0.027466903,0.035383854,0.35714287,516.39343
1024,0.316756,-19.868822,0.030675882,0.026672857,0.39285713,484.6154
1024,0.31486514,-20.19945,0.022407917,0.021067986,0.4285714,456.52176
1024,0.3148349,-16.430033,0.09691375,0.03710966,0.46428573,431.50684
1024,0.31319788,-11.948517,0.20744011,0.27641276,0.49999997,409.0909
1024,0.30562502,-10.937241,0.22330931,0.41436964,0.48295453,419.49155
1024,0.2898139,-10.9979515,0.08602508,0.2790775,0.4659091,430.43478
1024,0.26745877,-12.777555,0.047306735,0.07127627,0.44886366,441.96426
1024,0.24445307,-15.208836,0.063143745,0.031696014,0.43181816,454.12845
1024,0.22937997,-15.77375,0.054199263,0.04806496,0.41477272,466.98114
1024,0.23085965,-17.135511,0.069105804,0.062823,0.39772728,480.58252
1024,0.25453022,-18.21538,0.020227013,0.09402743,0.38068184,495.0
1024,0.30053952,-21.366236,0.020659128,0.021283241,0.36363634,510.30927
1024,0.36246556,-21.578642,0.031640798,0.04056509,0.3465909,526.5957
1024,0.4283934,-12.393082,0.0726641,0.10528945,0.32954544,543.95605
1024,0.48426124,-6.482645,0.50692695,0.2330589,0.3125,562.5
1024,0.5185828,-5.2898636,0.5090721,0.73889124,0.328125,545.4545
1024,0.5265266,-5.424925,0.14391276,0.3584402,0.34375,529.41174
1024,0.5110901,-8.661585,0.06285333,0.04269586,0.359375,514.2857
1024,0.4807656,-13.416431,0.035776425,0.01640991,0.37499997,500.0
1024,0.44523054,-16.160427,0.030780133,0.019524528,0.390625,486.48648
1024,0.41134927,-16.41931,0.055568397,0.012850831,0.40625,473.6842
1024,0.38126335,-13.484987,0.13841729,0.07699096,0.42187497,461.53848
1024,0.35318744,-10.367327,0.22752088,0.2714841,0.43750003,449.99997
1024,0.32422173,-9.341158,0.2151573,0.32553634,0.425,459.18365
1024,0.29355016,-9.992861,0.11374519,0.16615888,0.41250002,468.74997
1024,0.2642724,-11.607943,0.052864753,0.03496424,0.40000004,478.7234
1024,0.24292907,-15.56506,0.030095976,0.03161754,0.3875,489.13043
1024,0.2370213,-18.344076,0.038828205,0.054511774,0.37499997,500.0
1024,0.25166595,-20.809843,0.018644769,0.04710744,0.36249998,511.36365
1024,0.28673735,-23.946196,0.012474324,0.019997366,0.34999996,523.25586
1024,0.33568573,-20.219473,0.018455109,0.020400377,0.3375,535.7143
1024,0.38675585,-12.084436,0.19050956,0.060050078,0.32500002,548.78046
1024,0.42652962,-7.5485764,0.39356008,0.6967211,0.3125,562.5
1024,0.44463181,-6.5337257,0.3978187,0.5162261,0.3359375,537.3134
1024,0.43750966,-6.960108,0.12174839,0.22663476,0.359375,514.2857
1024,0.40935165,-10.164717,0.03328201,0.045675743,0.3828125,493.15067
1024,0.3697891,-15.590372,0.036107883,0.04976359,0.40625,473.6842
1024,0.32976934,-18.402922,0.028292814,0.020716367,0.42968747,455.69623
1024,0.2975533,-19.872488,0.03258728,0.030994823,0.453125,439.02438
1024,0.2763525,-17.51828,0.08070401,0.058297023,0.4765625,423.52942
1024,0.264275,-15.302963,0.11216545,0.22523993,0.49999997,409.0909
1024,0.2563368,-13.109901,0.14787963,0.20883025,0.48295453,419.49155
1024,0.24755226,-12.086721,0.12303098,0.25647253,0.4659091,430.43478
1024,0.23577121,-12.4054165,0.10848297,0.1607424,0.44886366,441.96426
1024,0.22308631,-13.592527,0.051961634,0.06513051,0.43181816,454.12845
1024,0.21525164,-16.40307,0.04976732,0.034029342,0.41477272,466.98114
1024,0.21935561,-18.472147,0.019580223,0.048663437,0.39772728,480.58252
1024,0.24065456,-22.405481,0.014355682,0.014823523,0.38068184,495.0
1024,0.27980274,-24.246763,0.017044371,0.04778528,0.36363634,510.30927
1024,0.3316444,-22.392183,0.030134505,0.07131448,0.3465909,526.5957
1024,0.38624367,-11.120232,0.18930928,0.10540892,0.32954544,543.95605
1024,0.4320328,-8.013441,0.47288853,0.63592136,0.3125,562.5
1024,0.45995632,-6.2854385,0.29609084,0.5457266,0.328125,545.4545
1024,0.46666366,-7.025688,0.16059917,0.16270542,0.34375,529.41174
1024,0.45505074,-9.341076,0.046999447,0.04028678,0.359375,514.2857
1024,0.43197113,-14.997585,0.032558296,0.011695531,0.37499997,500.0
1024,0.4045891,-17.527397,0.034188833,0.028191939,0.390625,486.48648
