BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
1,0.0030180004,-48.540764,0.0,0.0,0.14666666,409.0909
1,0.0032218122,-45.068684,4.4178724,0.0,0.14666666,409.0909
1,0.003861411,-40.59605,12.342903,1.8627005,0.14666666,409.0909
1,0.004832304,-38.573055,16.54549,2.8364332,0.14666666,409.0909
1,0.00591649,-37.385483,14.257147,3.1126566,0.14666666,409.0909
1,0.006831964,-22.634441,98.75182,2.8009071,0.14666666,409.0909
1,0.007313184,-21.020195,213.80937,5.299435,0.14666666,409.0909
1,0.0071972674,-20.84803,45.514946,4.654712,0.15030304,399.19354
1,0.006478077,-23.671509,8.262168,0.91726416,0.1539394,389.76376
1,0.0053033936,-31.441456,6.8684044,0.2691403,0.15757576,380.76923
1,0.0039256085,-35.39289,6.7969813,0.33518758,0.16121212,372.18045
1,0.0026345225,-37.77843,6.6525903,0.53302634,0.16484849,363.97058
1,0.0016957483,-38.437454,5.89511,0.69547117,0.16848485,356.1151
1,0.0013063621,-39.144585,4.218474,0.6749601,0.17212121,348.59155
1,0.0015699357,-40.34169,4.0309944,0.56964684,0.17575757,341.3793
1,0.0024889868,-37.591812,8.927008,0.5025929,0.17939393,334.45947
1,0.0039731776,-37.184998,29.820045,2.8296235,0.1830303,327.81458
1,0.005862394,-24.02946,10.82839,5.2177944,0.18666667,321.42856
1,0.007961846,-21.164055,280.84732,1.1981603,0.17904761,335.10638
1,0.0100815045,-20.924145,114.301895,10.451446,0.17142858,350.0
1,0.012064947,-21.953213,6.0610385,2.262464,0.16380952,366.27908
1,0.013795004,-19.277225,147.33049,0.13288474,0.15619047,384.14636
1,0.015185977,-18.861752,249.22537,3.179231,0.14857143,403.84613
1,0.016178688,-18.254398,10.486402,3.903328,0.14095238,425.6757
1,0.016737781,-19.267845,85.141945,0.47791663,0.13333334,449.99997
1,0.016849997,-19.353893,147.01038,2.305825,0.12571429,477.27274
1,0.016527018,-18.327763,51.26881,2.581822,0.11809524,508.0645
1,0.015807558,-20.367477,135.99832,1.488864,0.11047619,543.10345
1,0.014756281,-20.99731,28.797901,2.8913345,0.10285714,583.3333
1,0.013463826,-18.406315,35.239674,0.2053201,0.0952381,630.0
1,0.012051864,-18.432518,348.57355,0.55261934,0.08761905,684.7826
1,0.010681157,-18.456852,18.965683,5.7092032,0.08,750.0
1,0.009545043,-23.243454,8.64249,0.22942787,0.08222222,729.72974
1,0.008837143,-28.638683,14.067156,0.31476474,0.08444444,710.52637
1,0.008712806,-31.431381,11.180719,0.64134336,0.086666666,692.3077
1,0.009272668,-31.457268,9.072704,0.48486152,0.08888889,675.0
1,0.010582171,-19.947166,255.29025,1.0248606,0.09111111,658.5366
1,0.012717832,-12.401159,396.27597,10.720646,0.093333334,642.8571
1,0.015802499,-12.123428,439.60144,5.8008823,0.10666667,562.5
1,0.019971617,-12.764776,21.666145,2.8735683,0.12,500.0
1,0.025237901,-21.314072,21.267315,0.3379291,0.13333334,449.99997
1,0.031307753,-25.120895,27.179157,0.23464637,0.14666666,409.0909
1,0.037471335,-14.1106415,20.367157,0.997263,0.16,375.0
1,0.04267086,-7.927187,998.6176,0.8258449,0.17333333,346.15384
