BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
1000,0.011998782,-27.611084,0.0,0.0,0.10666667,562.5
1000,0.019458713,-20.4892,151.84937,0.0,0.10666667,562.5
1000,0.028069662,-15.802123,240.55634,6.9932423,0.10666667,562.5
1000,0.037194535,-10.826709,470.65344,5.888961,0.108333334,553.8461
1000,0.04617116,-7.3471003,852.4503,4.983674,0.11,545.4545
1000,0.05443805,-7.074935,658.64526,4.6731787,0.111666664,537.3134
1000,0.061557695,-7.9347982,176.53693,1.8796088,0.11333334,529.41174
1000,0.067106925,-11.564952,107.46149,0.14201364,0.115,521.73914
1000,0.07053671,-11.862397,73.24844,0.24190138,0.11666667,514.2857
1000,0.07117588,-7.280919,829.1167,0.2007854,0.11833333,507.04227
1000,0.06847153,-3.9910212,1303.5322,5.923233,0.12,500.0
1000,0.06236931,-3.767169,965.32733,5.070646,0.12444445,482.14285
1000,0.053577207,-4.895875,179.81075,2.2188666,0.12888889,465.51724
1000,0.043493517,-10.856235,44.24282,0.19933736,0.13333334,449.99997
1000,0.033812255,-17.14524,63.38268,0.036363743,0.13777778,435.4839
1000,0.026012199,-20.223267,59.66313,0.37521052,0.14222223,421.875
1000,0.020944865,-22.277462,54.64147,0.26641047,0.14666666,409.0909
1000,0.01864825,-21.980164,49.293472,0.7917961,0.15111111,397.05884
1000,0.018421426,-17.76524,190.96042,1.0918185,0.15555556,385.71426
1000,0.019121114,-16.706371,309.73416,3.4054499,0.16,375.0
1000,0.019583022,-14.2758875,120.69497,3.2838879,0.15666667,382.97873
1000,0.019036593,-14.50965,305.21414,1.6969213,0.15333334,391.30435
1000,0.017390477,-14.45341,133.33531,2.9975972,0.15,399.99997
1000,0.015302629,-16.405632,114.61594,0.8627744,0.14666666,409.0909
1000,0.014004147,-18.500397,59.192043,0.50427276,0.14333333,418.60464
1000,0.01491877,-20.513409,61.661808,0.31949466,0.14,428.57144
1000,0.019177802,-22.413239,67.71283,0.5957956,0.13666667,439.02438
1000,0.027161442,-23.629677,36.145973,0.8555657,0.13333334,449.99997
1000,0.038203917,-24.994686,38.80326,0.5075015,0.13,461.53848
1000,0.050584696,-16.178299,64.504906,0.8712795,0.12666667,473.6842
1000,0.061877873,-8.17575,753.8005,1.366611,0.123333335,486.48648
1000,0.069627345,-3.740346,1400.5546,9.029927,0.12,500.0
1000,0.07215612,-2.1839952,1460.5945,7.092657,0.12148148,493.90247
1000,0.069171496,-2.8095407,519.61,3.1816545,0.12296297,487.95178
1000,0.06185211,-5.7860518,79.36745,0.56975126,0.12444445,482.14285
1000,0.05236133,-12.708947,43.21852,0.055170182,0.12592593,476.47058
1000,0.043042798,-17.989002,67.37639,0.13517883,0.1274074,470.93027
1000,0.035662,-19.545506,78.717834,0.19975801,0.12888889,465.51724
1000,0.03096014,-18.647812,101.0551,0.57987356,0.13037036,460.2273
1000,0.028625956,-14.384839,190.57419,0.88362795,0.13185185,455.05618
1000,0.027644,-12.325133,534.4455,2.9157078,0.13333334,449.99997
1000,0.026865259,-10.348371,355.32407,5.516436,0.13333334,449.99997
1000,0.025576873,-10.560472,382.19348,2.5683858,0.13333334,449.99997
1000,0.023852864,-11.6690855,141.4981,1.6022989,0.13333334,449.99997
